Rank,Team,off_eff,def_eff,possessions,Elo
1,Duke Blue Devils,123.26106538000496,92.71277308593075,67.17338709677419,1717.3926950715784
2,Michigan Wolverines,121.92737733395695,96.6760679737652,72.49274193548388,1716.4121129154134
3,Miami (OH) RedHawks,120.22748338118329,104.06393749342176,72.49375,1713.9456941276571
4,Arizona Wildcats,120.63025340203255,94.64146587857202,71.71532258064516,1711.3183350833528
5,Gonzaga Bulldogs,120.85440413403384,93.36105230006282,70.46136363636363,1696.1386703668834
6,Virginia Cavaliers,118.51734567995173,99.86435140874549,68.02,1682.0475745369529
7,High Point Panthers,121.23845647396129,100.38976966580474,71.50483870967743,1676.711663146268
8,Florida Gators,121.11919213350733,98.22001390113469,72.44032258064516,1669.4782662471043
9,UConn Huskies,116.62134600786803,97.35279297620505,66.9782258064516,1669.053347735629
10,Saint Mary's Gaels,118.08063013064672,97.59216393354502,65.88790322580645,1668.2910621992798
11,McNeese Cowboys,115.01087050854858,99.64507818475808,67.09596774193548,1666.2453959132793
12,St. John's Red Storm,114.31843301738601,99.01912904034486,71.45725806451614,1662.6115621389797
13,Houston Cougars,118.80826169142294,96.60805330482718,65.36129032258064,1658.8456080828132
14,Saint Louis Billikens,120.8876971822666,98.64870782879099,71.4603448275862,1656.0197743561082
15,Akron Zips,123.19421359340093,104.57202247582306,71.44137931034483,1655.7592168403753
16,Stephen F. Austin Lumberjacks,112.94217864358323,100.08149064707503,66.1241935483871,1650.378090377802
17,Michigan State Spartans,116.83486426426678,100.52568192236834,67.3741935483871,1649.434680188285
18,Nebraska Cornhuskers,115.05706828088384,96.46628793343761,67.67500000000001,1646.4294856077688
19,Iowa State Cyclones,119.3418430495763,95.73893423720365,68.5359375,1645.484308641535
20,VCU Rams,118.20544157405581,103.77340137877172,69.91532258064517,1644.8585484495927
21,Santa Clara Broncos,117.80954897109395,106.25761458493233,70.29621212121212,1641.9993643481205
22,North Carolina Tar Heels,116.02286085834577,103.44375193431786,68.63548387096773,1639.6907257968214
23,North Dakota State Bison,114.35422121720002,102.89656894048818,69.20645161290322,1637.1343932388163
24,Utah State Aggies,120.79894216737597,104.2875587983266,68.27333333333333,1636.871412874502
25,Illinois Fighting Illini,125.44103985316048,103.43951971711394,67.16290322580646,1634.4550278689078
26,Alabama Crimson Tide,122.59189771973388,111.04827021612694,75.1459677419355,1632.5901953703055
27,Villanova Wildcats,114.88845107255307,104.48868322477054,67.28416666666666,1632.4182174552045
28,Tulsa Golden Hurricane,123.05017738117998,106.36156268271694,68.77327586206897,1632.3408888401832
29,Miami Hurricanes,118.50241332683625,102.2210841055962,69.69677419354838,1631.718956923946
30,UNC Wilmington Seahawks,113.9654550947101,102.06152998401087,66.14916666666666,1631.6567197465329
31,South Florida Bulls,117.39281195510235,103.21565144885379,74.69250000000001,1630.4075196051836
32,Belmont Bruins,118.59813939590835,105.53540775053308,70.67500000000001,1630.122440824484
33,Arkansas Razorbacks,122.74171131058453,108.8968328612653,73.13416666666667,1629.876203706775
34,Utah Valley Wolverines,111.26663491518434,100.32753317217608,70.72946428571429,1629.533732800753
35,Yale Bulldogs,120.76140413618656,107.2039440781347,66.3451923076923,1627.049830429704
36,Navy Midshipmen,112.65874458102259,98.48274361308596,65.91129032258064,1624.4574162971287
37,Vanderbilt Commodores,121.30899459411422,104.75760876598537,71.73225806451612,1622.4215980453948
38,Kansas Jayhawks,110.96950092555728,100.40253208874356,68.85483870967742,1618.2482270090766
39,Louisville Cardinals,119.30853823353537,101.87439706833639,71.2046875,1617.5044285452425
40,Texas Tech Red Raiders,118.70553998282388,107.43922458610648,68.02,1617.2298741207258
41,Liberty Flames,117.18498416696735,110.42105651994277,65.13103448275862,1615.184120331253
42,Wisconsin Badgers,119.41146461042482,108.07233735893784,69.86370967741935,1614.7438845306908
43,Hofstra Pride,113.49945196124507,102.8274731960039,65.82265625,1614.0692323637736
44,TCU Horned Frogs,111.48399086044246,101.95230312595096,69.34609375,1613.2973295008153
45,Purdue Boilermakers,124.33738191648278,107.33197098793032,66.13951612903226,1611.6351573985678
46,California Baptist Lancers,107.33299010237819,98.91441235475912,67.93548387096774,1609.433534453958
47,Clemson Tigers,112.75605103621471,99.95874964456604,65.44609375,1608.0681720285422
48,Tennessee State Tigers,109.7524122817029,103.84521934508183,70.52,1607.5201086304646
49,Kent State Golden Flashes,112.87193461775377,110.09646078572486,73.8956896551724,1605.6927289306864
50,BYU Cougars,119.11415166494216,106.94969228232723,70.89090909090909,1601.0891319773964
51,Georgia Bulldogs,121.07022402184359,107.20314046223035,74.71774193548387,1599.5747225982586
52,UMBC Retrievers,112.77300557182667,101.68546045560927,67.01206896551724,1598.7076771501452
